Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats Contig N50	Assembly Stats GC Count	Assembly Stats GC Percent
GCF_036240075.1	[Kitasatospora] papulosa	NBC_01269	7532608	7413447	5351238	71
GCF_000717245.1	[Kitasatospora] papulosa	NRRL B-16504	7568795	625243	5370961	71
GCF_026339595.1	[Kitasatospora] papulosa	NBC_01721	7506106	1269900	5335107	71
GCF_035940175.1	[Kitasatospora] papulosa	NBC_01344	7648620	7648620	5438364	71
GCF_035980495.1	[Kitasatospora] papulosa	NBC_01295	7559771	7559771	5371411	71
GCF_036237255.1	[Kitasatospora] papulosa	NBC_01355	7734989	7734989	5488239	71
GCF_036237335.1	[Kitasatospora] papulosa	NBC_01347	7680165	7680165	5448231	71
GCA_000717245.1	[Kitasatospora] papulosa	NRRL B-16504	7568795	625243	5370961	71
GCA_026339595.1	[Kitasatospora] papulosa	NBC_01721	7506106	1269900	5335107	71
GCA_035940175.1	[Kitasatospora] papulosa	NBC_01344	7648620	7648620	5438364	71
GCA_035980495.1	[Kitasatospora] papulosa	NBC_01295	7559771	7559771	5371411	71
GCA_036237255.1	[Kitasatospora] papulosa	NBC_01355	7734989	7734989	5488239	71
GCA_036237335.1	[Kitasatospora] papulosa	NBC_01347	7680165	7680165	5448231	71
GCA_036240075.1	[Kitasatospora] papulosa	NBC_01269	7532608	7413447	5351238	71
GCA_000820785.2	Candidatus Streptomyces massiliensis AP10	AP10	7406444	3851	4713972	72
GCA_018114805.1	Candidatus Streptomyces philanthi	23Af2	7341895	7341895	5312385	72.5
GCF_014648775.1	Streptomyces abikoensis	JCM 4002	7000866	785131	5057931	72
GCF_040631555.1	Streptomyces abikoensis	NPDC020039	7753706	204567	5574383	72
GCF_040631735.1	Streptomyces abikoensis	NPDC019920	7474701	503602	5386403	72
GCF_040650195.1	Streptomyces abikoensis	NPDC048735	7357230	187338	5317307	72.5
GCA_014648775.1	Streptomyces abikoensis	JCM 4002	7000866	785131	5057931	72
GCA_040631555.1	Streptomyces abikoensis	NPDC020039	7753706	204567	5574383	72
GCA_040631735.1	Streptomyces abikoensis	NPDC019920	7474701	503602	5386403	72
GCA_040650195.1	Streptomyces abikoensis	NPDC048735	7357230	187338	5317307	72.5
GCF_001751365.1	Streptomyces abyssalis	SCSIO 10390	6610598	652893	4680357	71
GCF_001751345.1	Streptomyces abyssalis	SCSIO 10389	6910195	65923	4755115	71
GCA_001751345.1	Streptomyces abyssalis	SCSIO 10389	6910195	65923	4755115	71
GCA_001751365.1	Streptomyces abyssalis	SCSIO 10390	6610598	652893	4680357	71
GCF_008974245.1	Streptomyces abyssomicinicus	CHI39	7929138	307082	5788978	73
GCA_008974245.1	Streptomyces abyssomicinicus	CHI39	7929138	307082	5788978	73
GCF_030816385.1	Streptomyces achromogenes	W4I19-2	8999607	8968248	6437948	71.5
GCF_030816715.1	Streptomyces achromogenes	B2I10	9170506	9170506	6558221	71.5
GCF_040637715.1	Streptomyces achromogenes	NPDC028213	8312581	21262	6035448	72.5
GCF_040646515.1	Streptomyces achromogenes	NPDC045763	8522940	171400	6180566	72.5
GCF_040678275.1	Streptomyces achromogenes	NPDC052718	8364053	89337	6067452	72.5
GCF_040702825.1	Streptomyces achromogenes	NPDC064945	8529223	242307	6183808	72.5
GCA_030816385.1	Streptomyces achromogenes	W4I19-2	8999607	8968248	6437948	71.5
GCA_030816715.1	Streptomyces achromogenes	B2I10	9170506	9170506	6558221	71.5
GCA_040637715.1	Streptomyces achromogenes	NPDC028213	8312581	21262	6035448	72.5
GCA_040646515.1	Streptomyces achromogenes	NPDC045763	8522940	171400	6180566	72.5
GCA_040678275.1	Streptomyces achromogenes	NPDC052718	8364053	89337	6067452	72.5
GCA_040702825.1	Streptomyces achromogenes	NPDC064945	8529223	242307	6183808	72.5
GCF_000720835.1	Streptomyces achromogenes subsp. achromogenes	NRRL B-2120	8112410	185677	5885061	72.5
GCA_000720835.1	Streptomyces achromogenes subsp. achromogenes	NRRL B-2120	8112410	185677	5885061	72.5
GCF_009377235.1	Streptomyces acidicola	K1PN6	10256521	34036	7209815	70.5
GCF_040682235.1	Streptomyces acidicola	NPDC051297	10411609	194464	7318198	70.5
GCA_009377235.1	Streptomyces acidicola	K1PN6	10256521	34036	7209815	70.5
GCA_040682235.1	Streptomyces acidicola	NPDC051297	10411609	194464	7318198	70.5
GCF_019890725.1	Streptomyces acidipaludis	PLK6-54	8482086	116494	6166006	72.5
GCA_019890725.1	Streptomyces acidipaludis	PLK6-54	8482086	116494	6166006	72.5
GCF_020010905.1	Streptomyces acidiscabies	NRRL B-16521	11002003	5894306	7767209	70.5
GCF_001189015.1	Streptomyces acidiscabies	NCPPB 4445	9978361	88034	7049787	70.5
GCF_001485105.1	Streptomyces acidiscabies	a10	10725420	82196	7574005	70.5
GCF_001941265.1	Streptomyces acidiscabies	98-49	10199530	16535	7185949	70.5
GCF_001941275.1	Streptomyces acidiscabies	98-48	10550187	20309	7452541	70.5
GCF_001941285.1	Streptomyces acidiscabies	85-06	10978399	20017	7740070	70.5
GCF_001941325.1	Streptomyces acidiscabies	FL01	10556215	19323	7447696	70.5
GCF_001949645.1	Streptomyces acidiscabies	a2	10582418	85309	7475901	70.5
GCF_003584805.2	Streptomyces acidiscabies	ST105	11077658	10970628	7819489	70.5
GCF_033793055.1	Streptomyces acidiscabies	NRRL_B-16521	10982315	201585	7710824	70.5
GCF_033793405.1	Streptomyces acidiscabies	NB05-1H	11509542	263363	8119391	70.5
GCF_033795045.1	Streptomyces acidiscabies	ATCC 49003	10918791	192560	7711635	70.5
GCF_036873425.1	Streptomyces acidiscabies	B21-098	9795961	9795961	6914946	70.5
GCF_036873705.1	Streptomyces acidiscabies	B21-078	11194725	11096455	7900059	70.5
GCF_036898605.1	Streptomyces acidiscabies	B21-095	11043063	10920093	7795326	70.5
GCA_001189015.1	Streptomyces acidiscabies	NCPPB 4445	9978361	88034	7049787	70.5
GCA_001485105.1	Streptomyces acidiscabies	a10	10725420	82196	7574005	70.5
GCA_001941265.1	Streptomyces acidiscabies	98-49	10199530	16535	7185949	70.5
GCA_001941275.1	Streptomyces acidiscabies	98-48	10550187	20309	7452541	70.5
GCA_001941285.1	Streptomyces acidiscabies	85-06	10978399	20017	7740070	70.5
GCA_001941325.1	Streptomyces acidiscabies	FL01	10556215	19323	7447696	70.5
GCA_001949645.1	Streptomyces acidiscabies	a2	10582418	85309	7475901	70.5
GCA_003584805.2	Streptomyces acidiscabies	ST105	11077658	10970628	7819489	70.5
GCA_020010905.1	Streptomyces acidiscabies	NRRL B-16521	11002003	5894306	7767209	70.5
GCA_033793055.1	Streptomyces acidiscabies	NRRL_B-16521	10982315	201585	7710824	70.5
GCA_033793405.1	Streptomyces acidiscabies	NB05-1H	11509542	263363	8119391	70.5
GCA_033795045.1	Streptomyces acidiscabies	ATCC 49003	10918791	192560	7711635	70.5
GCA_036873425.1	Streptomyces acidiscabies	B21-098	9795961	9795961	6914946	70.5
GCA_036873705.1	Streptomyces acidiscabies	B21-078	11194725	11096455	7900059	70.5
GCA_036898605.1	Streptomyces acidiscabies	B21-095	11043063	10920093	7795326	70.5
GCF_000242715.1	Streptomyces acidiscabies 84-104	84-104	11005945	113361	7769136	70.5
GCA_000242715.2	Streptomyces acidiscabies 84-104	84-104	11005945	113361	7769136	70.5
GCF_016741775.1	Streptomyces actinomycinicus	RCU-197	8790999	270358	6316495	72
GCA_016741775.1	Streptomyces actinomycinicus	RCU-197	8790999	270358	6316495	72
GCF_016921115.1	Streptomyces actuosus	VRA1	8451480	190774	6088211	72
GCF_003208035.1	Streptomyces actuosus	ATCC 25421	8145579	8145579	5908207	72.5
GCA_003208035.1	Streptomyces actuosus	ATCC 25421	8145579	8145579	5908207	72.5
GCA_016921115.1	Streptomyces actuosus	VRA1	8451480	190774	6088211	72
GCF_020400605.1	Streptomyces aculeolatus	DSM 41644	8986452	230881	6587332	73.5
GCA_020400605.1	Streptomyces aculeolatus	DSM 41644	8986452	230881	6587332	73.5
GCF_016598475.1	Streptomyces adelaidensis	CAP261	9321252	83341	6576899	70.5
GCA_016598475.1	Streptomyces adelaidensis	CAP261	9321252	83341	6576899	70.5
GCF_009377175.1	Streptomyces adustus	NBRC 109810	10226955	32765	7281488	71
GCA_009377175.1	Streptomyces adustus	NBRC 109810	10226955	32765	7281488	71
GCF_040613695.1	Streptomyces afghaniensis	NPDC006242	9419768	199782	6698254	71
GCF_030817705.1	Streptomyces afghaniensis	W1I20	9938529	9847831	7061477	71
GCA_030817705.1	Streptomyces afghaniensis	W1I20	9938529	9847831	7061477	71
GCA_040613695.1	Streptomyces afghaniensis	NPDC006242	9419768	199782	6698254	71
GCF_000415505.1	Streptomyces afghaniensis 772	772	9848774	23010	6989746	71
GCA_000415505.1	Streptomyces afghaniensis 772	772	9848774	23010	6989746	71
GCF_030816955.1	Streptomyces africanus	B3I12	9069472	9069472	6459434	71
GCF_002150735.1	Streptomyces africanus	NRRL B-24243	9115570	27371	6485792	71
GCA_002150735.1	Streptomyces africanus	NRRL B-24243	9115570	27371	6485792	71
GCA_030816955.1	Streptomyces africanus	B3I12	9069472	9069472	6459434	71
GCF_001746455.1	Streptomyces agglomeratus	9-3-15	8962368	8142030	6317971	70.5
GCF_001746415.1	Streptomyces agglomeratus	6-3-2	9128732	8325022	6429167	70.5
GCF_001746465.1	Streptomyces agglomeratus	5-1-3	9514325	8101382	6697498	70.5
GCF_001746475.1	Streptomyces agglomeratus	5-2-6	9018469	8348226	6352476	70.5
